title,link,price
"녹스 크리스탈 게이밍 키보드 완전방수 1+1 장패드, 화이트",https://www.coupang.com/vp/products/5191736029?itemId=7210138839&vendorItemId=74501680253&sourceType=srp_product_ads&clickEventId=5bb56187-a601-4e8a-a0d8-a957c3b2ed0f&korePlacement=15&koreSubPlacement=1,67500
"앱코 HACKER 레인보우 LED 게이밍 키보드 + 마우스 세트 KM400, 혼합 색상",https://www.coupang.com/vp/products/24661986?itemId=95909056&vendorItemId=3172411921,22950
"로지텍 USB 유선 키보드 K120, 검정",https://www.coupang.com/vp/products/132687601?itemId=390196810&vendorItemId=3335653163,10600
"앱코 HACKER K150 텐키리스 레인보우 LED 게이밍 멤브레인 키보드, 혼합색상",https://www.coupang.com/vp/products/1491891234?itemId=2561032599&vendorItemId=70553509172,11750
"녹스 게이밍 키보드 기계식 청축 방수 RGB LED 유선키보드, 블랙, 녹스 VALKAN",https://www.coupang.com/vp/products/4890217797?itemId=6373016867&vendorItemId=70421856938&sourceType=srp_product_ads&clickEventId=c460460e-92f9-4080-ad1c-eb65cdd6a769&korePlacement=15&koreSubPlacement=5,54000
"앱코 HACKER 축교환 측면 RGB 라이팅 이중사출 게이밍 기계식 키보드 청축, 블랙, K515",https://www.coupang.com/vp/products/286652843?itemId=908774836&vendorItemId=5416920646&sourceType=srp_product_ads&clickEventId=ade0adb0-abb1-44d2-a3a8-ac52732023f7&korePlacement=15&koreSubPlacement=6,31150
"COX 축교환식 레인보우 LED 기계식 게이밍 키보드 청축, CK420, 블랙",https://www.coupang.com/vp/products/118966795?itemId=354697967&vendorItemId=3864107851&pickType=COU_PICK,34200
"앱코 HACKER K516 축교환 측면 RGB 라이팅 이중사출 게이밍 기계식 키보드 청축, ABKO HACKER K516, 옐로우",https://www.coupang.com/vp/products/310171394?itemId=955704686&vendorItemId=5353106163,32150
"로이체 무선 키보드 마우스 세트, RX-3100, 블랙",https://www.coupang.com/vp/products/13300590?itemId=55554979&vendorItemId=3222922777&sourceType=srp_product_ads&clickEventId=90e9a96c-cd80-4b8d-bb15-c6f7382135fa&korePlacement=15&koreSubPlacement=9,14900
"로이체 무선 키보드 마우스 세트, RX-3100, 블랙",https://www.coupang.com/vp/products/13300590?itemId=55554979&vendorItemId=3222922777,14900
"엑토 레트로 레인보우 LED 유선 키보드, KBD-56, 화이트",https://www.coupang.com/vp/products/1731676636?itemId=2947720421&vendorItemId=70936218726,16750
삼성전자 유선키보드 SPA-JKA1BUB + 키스킨,https://www.coupang.com/vp/products/57621830?itemId=199730764&vendorItemId=3474768396,13950
"COX 축교환식 레인보우 LED 기계식 게이밍 키보드 청축, CK420, 화이트",https://www.coupang.com/vp/products/118966795?itemId=354697975&vendorItemId=3864107874,34200
"로지텍 무선키보드 마우스 세트, MK235, 혼합 색상",https://www.coupang.com/vp/products/5561174812?itemId=8821612417&vendorItemId=3180494980,22150
